"Method","Prompt","$d_{KL}(p||p^{*})$"
"warm + prune","great values some proved For family Family importance","$11.4\pm0.4"
"Ground truth","Suppose you have a table named """"transactions"""" with columns """"transaction id"""", """"customer id"""", """"transaction da""","$0.0\pm0.0"
"GPT-4 warm","How to use SQL to find customers who boosted their spending the most from last month?","$\overline{4.1+0.6}$"
"GPT-4 warm + fluency","Show me a SQL query to track customers with major spending increase.","$35.8+0.8"
"GPT-4 warm + prune","Show me a SQL query to track customers with major spending increase..","$35.8\pm0.8"
"cold start","highest BY percentageNext unique customer cambio WHEREoto","$23.7\pm0.4"
"warm start","Mievementtransaction SQL to find customers laicional spending Seconds últimaicinembroila Mediter","$17.4\pm0.7"
"fluency warm","andra terminated SOL-Best Prim customers/J spending increase percentage","21.2±0.4"
"warm prune","nicely sqlatically YES Newton percentage easiest customersanvik Mercurlige reun Similar","$22.2+0.6"
"Ground truth","Explain the meaning of """"I see not the waves but the hand of God"""",","$0.0\pm0.0"
"GPT-4 warm","What is the meaning behind the phrase 'I see not the waves but the hand of God""?","$1.2\pm0.3"
"GPT-4 warm + fluency","What does the phrase I see not the waves but the hand of God suggest about a person's perception or belief?","$13.0\pm0.4"
"GPT-4 warm + prune","Explain the phrase 'I see not the waves but the hand of God' in spiritual context.","$5.2\pm0.4"
"cold start","times(1) jakovisualisión phrase diednal Иван","$36.8\pm0.4"
"warm start","What is the meaning behind the phrase """"I see not the waves but the hand of God?""","$1.2\pm0.3"
"warm + fluency","Whatiat the meaning 'I see not the waves but the hand of God SeeepEnter for whole dipp on trbr","$0.6\pm0.1"
"warm + prune","Explain the phrase 'I see not the waves but the hand of God' most ico practices","$1.0\pm0.2"
"Ground truth","Compare and contrast active listening and regular listening.","$0.0\pm0.0"
"GPT-4 warm","What is the difference between active and regular listening?","$5.3\pm0.7"
"GPT-4 warm + fluency","Explain the difference between active listening and regular listening","$5.1\pm0.7"
"GPT-4 warm + prune","In what ways does active listening differ from regular listening?","$11.1\pm0.6"
"cold start","jši pr lime differences activeйн ant usualaла","$13.5\pm0.8"
"warm start","priewererve difference between active and regular listening UP","$4.7\pm0.7"
"warm + fluency","fersapo outline between]] active listening and regular listening","$3.7\pm0.5"
"warm prune","dess DISifferent doesactive listeningouv from regularLE catalog","$6.1\pm0.7"
"Ground truth","Describe the definition of artificial intelligence in one sentence.","$0.0\pm0.0"
"GPT-4 warm","Explain the concept of Artificial Intelligence in the context of Computer Science.","$10.9\pm0.9"
"GPT-4 warm + fluency","Provide a description of Artificial Intelligence with focus on learning and problem-solving.","$10.6\pm0.9"
"GPT-4 warm + prune","Express the idea of Artificial Intelligence in relation to machine and human intelligence.","$10.7\pm0.9"
"cold start","artific (definчке розхід Spanish","$3.7\pm0.4"
"warm start","Expsimp the concept!: Art beskrevscipl nelligenceieve ne prod alive rii","$2.8\pm0.4"
"warm fluency","Powdefined descriptioma Artificial elligenceaddyposed zelfLOGclruction jourocoaydrorit","$2.9\pm0.4"
"warm prune","Express isolated summary ofbertoificialTelligence:ONEanely expressionfnatically ba","$2.7\pm0.4"
"Ground truth","Design a product to help people manage their time","$0.0\pm0.c"
"GPT-4 warm","Describe a time management app that uses machine learning algorithms.","$32.9\pm1.0"
"GPT-4 warm + fluency","Explain the features of an Al-powered digital assistant that helps with time management.","$38.0\pm0.8"
"GPT-4 warm + prune","What could a product that combines a digital calendar and a to-do list look like?","$39.2\pm1.0"
"cold start","helpful functionality personaod building theretimer Rephon","$21.4\pm0.7"
"warm start","makeme a time management product thatừ AProducts Temp","$11.6\pm0.5"
"warm + fluency","products ideisézd problema provpoleurbecueнт componentpure Product that helps persons time management","$12.3\pm0.5"
"warm + prune","kre ingename product that Done timparaza Simstereianhapasrım designeduta providing routine","$14.6\pm0.5"
"Ground truth","The students are excited about their upcoming assignment.","$0.0\pm0.0"
"GPT-4 warm","Rewrite """"The students are excited about their upcoming assignment. to display greater eagerness.""""","$20.4\pm0.7"
"GPT-4 warm + fluency","Provide a more impactful version of 'The students are excited about their upcoming assignment.""""","$16.5+0.7"
"GPT-4 warm + prune","Provide a more impactful version of The students are excited about their upcoming assignment ","$16.5+0.7"
"cold start","theseStudent asto ignment помош verb fast","$32.7\pm0.7"
"warm start","""-""""The students are excited WM their poncoming assignment,' analy stronger CM odd Lamb""""","$12.4\pm0.5"
"warm + fluency","protection sentence again more effective? ele The students are excited zаr раncoming assignment.-","$12.5\pm0.6"
"warm prune","sentence somehowint more sypent strong LIKE Me The students are excited incon ninger aos assignment.","$151+05"
"Ground truth.","Offer an opinion on the problems that could arise from using Al.","$0.0\pm0.0"
"GPT-4 warm","What are some issues that might be caused by the use of Al?","$14.0\pm0.i"
"GPT-4 warm + fluency","Highlight key problems linked with Al implementation.","$20.8\pm0.7"
"GPT-4 warm + prune","Point out some possible challenges that could be seen with the use of AL.","$18.1\pm0.6"
"cold start","skéлькоesome må Eth convenienceffectpport humans Problem","$14.3\pm0.5"
"warm start","True Hay jy problem которы vil causeda To use zou Al","$4.3\pm0.4"
"warm fluency","мін problemselles Vit Al consequences","$7.0\pm0.4"
"warm + prune","Problem thingsptop affili subsequentlyrong that could positeso je okay use onto Al.","$4.6\pm0.4"
"Ground truth","Outline a strategy to increase the number of website visitors","$0.0+0.0"
"GPT-4 warm","How can I attract more visitors to my website?","$24~9+11"
"GPT-4 warm + fluency","How to increase the number of website visitors?","$14.7\pm0.9"
"GPT-4 warm + prune","What are possible strategies to increase website traffic?","$26.8\pm1.2"
"cold start","increnseoue websitesouéscation visitors-S Phys","$11.6\pm0.6"
"warm start","increasing micмoмь годи visitorsStrategy moju websiterules","$10.7\pm0.5"
"warm fluency","plan Sul increase lenClienteton website visitors strategy","$6.4+0.3"
"warm prune","writearu Nation strategun toln website countasm","$11.1\pm0.5"
"Ground truth","Compare cats and dogs.","$0.0\pm0.0"
"GPT-4 warm","What are some differences between cats and dogs?","$6.5\pm0.5"
"GPT-4 warm + fluency","List the differences between a cat and a dog.","$10.3+0.5"
"GPT-4 warm + prune","What are some differences between cats and dogs?","$6.5\pm0.5"
"cold start","categorностипи Conskávier alés Zusammen","$12.1\pm0.4"
"warm start","отурincan compared cats and dogså","$1.8\pm0.2"
"warm fluency","Ehe comparison ow woj cat undtd dogeru","$2.6\pm0.5"
"warm + prune","raz gli proportroyiest catsomi dogs descri","4.9±0.3"
"Ground truth","I need some help with packing. What items should I bring on my two-day hiking trip""","$0.0\pm0.0"
"GPT-4 warm","Tell me what to bring on a two-day hiking trip.","$4.8\pm0.4"
"GPT-4 warm + fluency","What essentials should I pack for a two-day hiking trip?","$10.4\pm0.8"
"GPT-4 warm + prune","Provide a packing list for a two-dav hiking trip.","$9.0\pm0.4"
"cold start","Cališaneedom DAY Pack everything set","$17.1\pm0.4"
"warm start","Ste me what to bring mu po two-day hiking trip mult","$3.4\pm0.3"
"warm + fluency","QuestionmustFzej I pack for curious two-day hiking everitted","$5.1\pm0.3"
"warm prune","onders suooret packing necess for a two weldayanhikingSide II","6.2±0.4"
"Ground truth","Construct a hyperbole that captures the color of the sunset..","0.0+0.0"
"GPT-4 warm","Explain the elements and beauty of a sunset, using hyperbolical expressions.","$17.2\pm0.9"
"GPT-4 warm + fluency","Describe a breathtaking sunset sky in the evening. Include hyperbole.","$17.0\pm1.J"
"GPT-4 warm + prune","Describe a breathtaking sunset sky in the evening. Include hyperbole.","$17.0\pm1.1"
"cold start","Og ikkenim Experösak sõuenaundial splendid","$25.3\pm0.7"
"warm start","Keep uit compl sunset using hyperbolêt expressionsun","$8.3\pm0.6"
"warm fluency","rian ému emissionbg"""" sunset EedAH. Include hyperbole""","$7.5\pm0.5"
"warm + prune","rightomenafox Trainrongothe sunset Color ä Hendarin?! Include hyperbole","$5.7\pm0.5"
"Ground truth.","Describe the star formation process.","$0.0\pm0.0"
"GPT-4 warm","What leads to the creation of new stars?","$16.3\pm0.7"
"GPT-4 warm + fluency","Describe the process by which a star is formed.","$13.2\pm0.5"
"GPT-4 warm + prune","What is the star formation process?","$0.7\pm0.1"
"cold start","stronom hoofнатаgoteqnctionroduction simaterial formed","$5.3\pm0.2"
"warm start","Produ bundculestuscation of stars efect","$4.4\pm0.2"
"warm fluency","D. CreensiveSeqarfuce describing star formed monde","$3.5\pm0.2"
"warm + prune","What is the star formation process?","$0.7\pm0.1"
"Ground truth","Name two electrical insulators","$0.0\pm0.0"
"GPT-4 warm","Which two materials are often used as electrical insulators?","$8.7\pm0.t"
"GPT-4 warm + fluency","Which two materials are often used as electrical insulators?","$8.7\pm0.6"
"GPT-4 warm + prune","List two common electrical insulating materials","$18.3\pm0.3"
"cold start","exañames two electro common Einwohner"""" inspect""","$7.5\pm0.6"
"warm start","fasst two Namen ihrererme heat Gem electaler insulators других","$3.5\pm0.3"
"warm fluency","Give twon He I electrical insapter Cel","$3.5\pm0.5"
"warm + prune","agua two common electdk insulatinguls","5.4±0.5"
"Ground truth","Generate an original story set in an urban cityscape,","$0.0\pm0.c"
"GPT-4 warm","Describe a bustling city from a third-person perspective.","$17.9\pm0.8"
"GPT-4 warm + fluency","Describe a bustling city from a third-person perspective.","$17.9\pm0.8"
"GPT-4 warm + prune","Describe the atmosphere of a bustling city during sunrise.","$28.8\pm0.9"
"cold start","write Urban egi fictionская Story","$4.5+0.4"
"warm start","éra pro story коміте мн city generate,, third-person ASSISTANT","$6.5\pm0.5"
"warm + fluency","jywrite fake Storyauc minim novel sub third-person övercity","$5.2\pm0.5"
"warm + prune","ingerssten stories seen of a um nerting critine cityenarioHS","$7.5\pm0.4"
"Ground truth","Design an indoor workout plan for a beginner","$0.0+0.6"
"GPT-4 warm","How can a beginner start working out indoors?","$\overline{15.7+0.4}$"
"GPT-4 warm + fluency","What would be a good indoor workout for someone just starting out?","$14.4\pm0.4"
"GPT-4 warm + prune","Can you recommend an indoor exercise routine for beginners?","$17.3\pm0.5"
"cold start","anda män exerciseHelpWTtr alap bir wobinter","$19.1\pm0.4"
"warm start","ński plat a beginnerzysk working out indoorslaz","$7.5\pm0.3"
"warm + fluency","aoelter Writeauni indoor workout forabendor starting outGenerator","$3.7\pm0.3"
"warm prune","praresdefineangh indoor Desior for beg Bahtero","$4.2\pm0.3"
"Ground truth","Describe the opportunities provided by virtual reality for businesses.","$0.0\pm0.0"
"GPT-4 warm","What are some opportunities Virtual Reality offers for businesses?","$4.5\pm0.3"
"GPT-4 warm + fluency","Discuss the potential of Virtual Reality in business","$16.5+0.7"
"GPT-4 warm + prune","What are some opportunities Virtual Reality offers for businesses?","$4.5\pm0.3"
"cold start","wicht battleottom opportunhy Virtual msrainy","$10.4\pm0.5"
"warm start","Whatályüt opportunien Virtual relality for business xita","$3.2\pm0.3"
"warm fluency","Optionsënunto potential of Virtualvricrosoftordo business","$7.8\pm0.4"
"warm + prune","What are some opportunities Virtual Reality offers for businesses?","$4.5\pm0.3"
"Ground truth","Explain what an API is.","0.0±0.0"
"GPT-4 warm","What does API stands for?","4.4±0.5"
"GPT-4 warm + fluency","Explain the role of API in software development.","$4.7\pm0.3"
"GPT-4 warm + prune","Explain what API means in the field of programming.","$2.2\pm0.2"
"cold start","define explaensk How Ani.(geen expla looked","$0.8\pm0.1"
"warm start","como API stands AT ASSISTANT","$1.3\pm0.2"
"warm fluency","Sel explanation of API in"""":1:""","$0.4\pm0.1"
"warm + prune","Lehr platforms what API means beginning Aood OF evaluateining","0.3±0.1"
"Ground truth","Suggest a creative idea for a marketing campaign.","$0.0\pm0.0"
"GPT-4 warm","What kind of engaging social media scavenger hunt could work for a marketing campaign?","$35.8\pm0.8"
"GPT-4 warm + fluency","What kind of interactive marketing campaign idea using augmented reality could be proposed?","$33.5\pm0.6"
"GPT-4 warm + prune","What kind of engaging social media scavenger hunt could work for a marketing campaien?","$35.8\pm0.8"
"cold start","Marketicangest recom одна ideas cre ativo","$5.9\pm0.3"
"warm start","moree act iencyixelpú creinoży Eine ry marketing idea","$10.0\pm0.3"
"warm + fluency","one istichteigi marketing campaign Creativeőlor idea amazлжи cool","$4.6\pm0.3"
"warm prune","sP cou idedression indu Task:// Givere couldinea trick Ch marketdri campaign?","$9.9\pm0.3"
"Ground truth","Calculate 7 times 5.","$0.0\pm0.0"
"GPT-4 warm","Calculate 7 multiplied by 5.","$4.7\pm0.3"
"GPT-4 warm + fluency","Calculate 7 multiplied by 5.","$4.7\pm0.3"
"GPT-4 warm + prune","Calculate 7 multiplied by 5.","$4.7\pm0.3"
"cold start","Seven piresftimes fünf aws","$8.8\pm0.4"
"warm start","Calculate 7 multiplied by 5.","$1.7\pm0.3"
"warm + fluency","Calculate 7 multiplied by 5.","$4.7\pm0.3"
"warm prune","Calculate 7 multiplied by S","$4.7\pm0.3"
"Ground truth","Suggest a location for a weekend getaway","$0.0\pm0.0"
"GPT-4 warım","Can you suggest a unique weekend vacation spot?","$19.0\pm0.6"
"GPT-4 warm + fluency","Can you recommend a good location for a weekend trip?","$12.8\pm0.4"
"GPT-4 warm + prune","Can you recommend a good location for a weekend trip?","$12.8\pm0.4"
"cold start","Locationôтрово siebenFrdaysü choice mieisikor","$17.3\pm0.6"
"warm start","Mediainitely suggest a weekend vacskýchlhppreme","$10.2\pm0.4"
"warm + fluency","? whisper a good location for a weekendpuspucr","$4.0\pm0.3"
"warm + prune"," recommend a good location for a weekendlob hus","5.3±0.4"
"Ground truth","Create a recipe titled """"Chocolate Chip Cookies"""".","$0.0\pm0.0"
"GPT-4 warm","What are the ingredients for Chocolate Chip Cookies?","$6.9\pm0.3"
"GPT-4 warm + fluency","What are the ingredients for Chocolate Chip Cookies?","6.9±0.3"
"GPT-4 warm + prune","Can you provide a basic recipe for Chocolate Chip Cookies?","$5.2+0.2"
"cold start","Develop Qual Charles reciCookie й хотените Description'","$6.7\pm0.3"
"warm start","aturing donneiffe Makeredients for Ch testimMaybe campelice Cookiescoln","$3.2\pm0.2"
"warm fluency","Give Rhnadédдна praet Cheromolate Clase Cookies","$2.7\pm0.2"
"warm + prune","restaortheastri Ara Make recipe for Chwritingolate Basicallycra Cookiesvas","$1.9+0.9"
"Ground truth.","Create a task for a virtual assistant to remind you to call your mom every Tuesday","$0.0\pm0.0"
"GPT-4 warm","How do I make my virtual assistant remind me every Tuesday to call my mom?","$28.0\pm0.4"
"GPT-4 warm + fluency","Is it possible to set a recurring reminder to call my mum every Tuesday?","$41.9\pm0.7"
"GPT-4 warm + prune","How do I make my virtual assistant remind me every Tuesday to call my mom?","$28.0\pm0.4"
"cold start","is household chat occasionally todoseast rem teleért","$33.1\pm0.7"
"warm start","Mov, make my virtual assistant remMake me every Tuesday to call Ir momTC","$17.9\pm0.3"
"warm fluency","duties entő), WithoutS31% fac)). reminder tolOS my mum every TuesShellefg","$19.0\pm0.6"
"warm + prune","Menuotingvisor simply edit Govern Ern remind me every Tuesmath to callspot mom Jorge","$16.5\pm0.5"
"Ground truth","Write a statement explaining why Al is important today.","$0.0+0.0"
"GPT-4 warm","Tell me what makes Al significant nowadays.","$\overline{18.0+0.4}$"
"GPT-4 warm + fluency","What makes artificial intelligence impactful today?","$24.9\pm0.4"
"GPT-4 warm + prune","Explain the importance of Al today?","$8.4\pm0.4"
"cold start","aimportant explainsiĀliches today","$13.1\pm0.3"
"warm start","Howillerytered makes Al significant LINadays NUM","$12.8\pm0.3"
"warm + fluency","What makes Alimportant nopa partici today Symbol","$2.9+0.3"
"warm prune","Why wh ich importancefter Al todavomy","$4.2\pm0.3"
"Ground truth","Generate two new features which the lot device can provide","$0.0\pm0.0"
"GPT-4 warm","What two new features could an lot device provide to improve medical treatments?","$29.6\pm0.8"
"GPT-4 warm + fluency","What are two potential features that an loT device could provide?","$19.5+0.7"
"GPT-4 warm + prune","Describe two.now features that an toT device can provide to enhance a smart farm system.","$23.7\pm0.7"
"cold start","immer propose features twov Ep io podeen smart","$16.9\pm0.5"
"warm start","choose two new features Here lo device provide Worldastic////////spaces&&More","$6.0\pm0.4"
"warm fluency","further spe two potential features rå to device will provide","$8.4\pm0.5"
"warm + prune","Think two new features that that IoT device can provideck Hereenn Now LIMITrother Run","1.4±0.2"
"Ground truth","Invent a computer gaming character that uses magic","$0.0\pm0.0"
"GPT-4 warm","Describe a powerful and enigmatic gaming character who can use magic, call her Luna","$31.0\pm0.9"
"GPT-4 warm + fluency","Generate a computer gaming character who can use magic named Phoenix Blackwood","$27.3\pm0.7"
"GPT-4 warm + prune","Generate a computer gaming character who can use magic named Phoenix Blackwood","$27.3\pm0.7"
"cold start","imagination character Creatingcovertypeân descriptGS combat enemies","$24.2\pm1.2"
"warm start","Descri a futdg kin pon) computer gaming character whom use magie Until app AUT","$4.9\pm0.3"
"warm + fluency","anagine a computer gaming character who ung magicFAjer serer","$4.1\pm0.4"
"prune warm","Generate a computer gaming character whoedia use magic Krist innov tutorialswood","4.4±0.4"
"Ground truth","Create a three-step recipe for making banana bread.","0.0+0.0"
"GPT-4 warm","Can I have a simple recipe to make banana bread?","$15.2\pm1.$"
"GPT-4 warm + fluency","Tell me a good recipe to prepare banana bread.","$15.6\pm1.1"
"GPT-4 warm + prune","What are the steps to make banana bread in the oven?","$12.0\pm0.8"
"cold start","man driel Brnavnosimorening reciple","$10.0\pm0.5"
"warm start","aes techniibm BY steps maj drei Prem banana bread Demo","$5.9\pm0.2"
"warm + fluency","Stacryn moi isserfalichtet Mic banana bready","5.4±0.4"
"warm prune","Bu have little steps pel any banana breadleyirty betstep menu","$7.0\pm0.5"
"Ground truth.","Develop an algorithm to optimize a grocery store's stock replenishment process","$0.0\pm0.0"
"GPT-4 warm","What could be the steps in an algorithm aimed at optimizing a grocery store's stock replenishment process?","$7.5\pm0.4"
"GPT-4 warm + fluency","What are the steps in optimizing a grocery store's stock replenishment process through an algorithm?","$13.4\pm0.5"
"GPT-4 warm + prune","Can you give me an algorithm to optimize a grocery store's stock replenishment process?","$3.2\pm0.3"
"cold start","fo sav optimRedepourst storesorithmsekreate","$27.7\pm0.3"
"warm start","WE Musical? Typeiritsy an algorithm rational sureaю optimizingacs grocery store's stock revätim 3 process:","$2.7\pm0.2"
"warm fluency","lid maxim the steps in optimUnder groery stores's stock reios pro Find thoroughlyriction an algorithmEler","$5.7\pm0.4"
"warm + prune","write algorithmsling carre an algorithm which optimize a grocery store'uals stock replaceacishment process?","$2.0\pm0.2"
"Ground truth","Describe how one person can make a positive difference in the world.","$0.0\pm0.0"
"GPT-4 warm","Delineate the ways one person can trigger positive change.","$25.0+0.4"
"GPT-4 warm + fluency","List ways a single person can make a positive change in the world.","$23.3\pm0.5"
"GPT-4 warm + prune","How can an individual make a positive impact?","$26.4\pm0.4"
"cold start","однимент проис благо пе%% Orts medioprowad","$15.6\pm0.4"
"warm start","We bbidr ways one person DaBE positiveuela specie","$12.5\pm0.3"
"warm + fluency","duet wen Ke single person can Ho gén positive thingGitives world erhielt","$8.2\pm0.4"
"warm + prune","Whe anyone individual make Fo positive differentething","$13.5\pm0.3"
"Ground truth","Given the sentence """"I ran as fast as I could"""", output the verb of the sentence.","$0.0\pm0.0"
"GPT-4 warm","What is the main verb used in the sentence 'I ran as fast as I could""?","$15.9\pm0.$"
"GPT-4 warm + fluency","What is the verb of the sentence 'I ran as fast as I could?","$2.2\pm0.3"
"GPT-4 warm + prune","Identify the verb in the statement I ran as fast as I could.","$13.8\pm0.6"
"cold start","veri- velocity(proceeded ]); excitement","$25.4+0.6"
"warm start","Whatiaariaň verbzialorr the sentenceeli E ran as infl Approјакональicket","$7.2\pm0.4"
"warm + fluency","What is the verb of the sentence 'l ran as fast as could?","$2.2\pm0.3"
"warm + prune","Identify the verbting football Street I ran as fastnie OF could"""".","$6.6\pm0.4"
"Ground truth","Compare and contrast Integer and Floating-Point Number","$0.0+0.0"
"GPT-4 warın","Compare and contrast integer and floating-point numbers used in computers.","$\overline{6.9+0.4}$"
"GPT-4 warm + fluency","Compare and contrast integer and floating-point numbers used in computers.","$6.9\pm0.4"
"GPT-4 warm + prune","Discuss the characteristics and differences of integer and floating-point numbers in computing.","$11.4\pm0.5"
"cold start","Integer Formattp dátummalparison","$6.1\pm0.4"
"warm start","Compare and contrast integer and floating-fe dll erfolgte explaining.","$2.2\pm0.2"
"warm + fluency","Compare and contrast integer and floatingädliell Term fjäriginal truncniejs","$1.9\pm0.2"
"warm prune","choardiershal elabor differences of integer and floatinghardpoint numberswebazaresp","3.4±0.4"
"Ground truth","Compute the sum of all numbers from 1 to 100,","$0.0\pm0.0"
"GPT-4 warm","Find the sum of all numbers from 1 to 100 by adding them consecutively","$10.7\pm0.7"
"GPT-4 warm + fluency","Tell me the sum of all numbers from I through 100","$8~2+0.4"
"GPT-4 warm + prune","Compute the sum of all numbers from 1 to 100","$0.0\pm0.0"
"cold start","ammitu Total simplest Computatutorial Der númer Kaiser","$11.4\pm0.4"
"warm start","ennisogen sum of all numbers from possono Table cocтa 100azi7 computational intor","$3.2\pm0.2"
"warm fluency","zetincav sum of all numbersUngurm Ex throughg 100","$4.4\pm0.4"
"warm + prune","Compute the sum of all numbers from 1 to 100","$0.0\pm0.1"
"Ground truth","Write a short theme which describes the nature of love.","0.0±0.0"
"GPT-4 warm","Write a reflective piece on love being a force of nature","$13.7\pm1.$"
"GPT-4 warm + fluency","Discuss the nature of love as a binding force.","14.6±1.5"
"GPT-4 warm + prune","Write a reflective piece on love being a force of nature.","$13.7\pm1.1"
"cold start","""). Use Loveň escri William alemwrite""","$5.5\pm0.5"
"warm start","compos a piece on love pasZbli","$4.0\pm0.5"
"warm fluency","sufficientlviving the nature of loveinsert raa phr using chant","$5.3\pm0.4"
"warm + prune","Kolref Small emot piece on love efficient Terredes alto syntax","$3.5\pm0.4"
"Ground truth","Find the tenth largest city in the world in terms of population.","$0.0\pm0.0"
"GPT-4 warm","What is the tenth largest city in the world by population as of 2021 and what is it known for?","$13.9\pm0.5"
"GPT-4 warm + fluency","Can you provide information on the tenth most populous city in the world as of 20217","$17.0\pm0.4"
"GPT-4 warm + prune","Provide details on the city that holds the tenth position in world population as per 2021 data","$11.9\pm0.4"
"cold start","Київ religion Footnote Centre %)","$23.3\pm0.4"
"warm start","Whatyo a tenth largest cidade orazEE world el population Gu Br pve humanstu clude PicSal Parlament","$2.5\pm0.2"
"warm + fluency","енаквиее information tk Know tenth Hajesprach city in worldways Ipe kaième hasnük largest","$4.3\pm0.2"
"warm prune","Click or detailsizen parishinction that municipal the tenth leads in world population as firefoxmesRAMHub **","$5.3\pm0.3"
"Ground truth","Calculate the total surface aren of a cube with a side length of 5 cm.","$0.0\pm0.0"
"GPT-4 warm","What is the standard method for finding the total surface area of a cube?","$\underline{11.3\pm0.6}$"
"GPT-4 warm + fluency","Describe how to find the total surface area of a cube.","$9.1\pm0.6"
"GPT-4 warm + prune","What is the calculation for determining the total surface area of a cube?","$5.3\pm0.7"
"cold start","szereowanincement dioS TRalph Bal calculateC","$6.6\pm0.3"
"warm start","pił Polishzenia StanisławzigŸquez Джe total surface area ique cube """"","$3.5+0.4"
"warm + fluency","a computer <! How npo total surfacemathcal Oh cube three","$3.0\pm0.3"
"warm + prune","jesamiral calculation Sarahhniternentfig total surface I of Writing cube?","3.2±0.3"
"Ground truth","Generate a sentence which has at least three clauses,","$0.0\pm0.c"
"GPT-4 warm","Can vou explain the structure of this sentence?","$24.1\pm0.7"
"GPT-4 warm + fluency","Can you explain the structure of this sentence?","$24.1\pm0.7"
"GPT-4 warm + prune","What is the break-down of this sentence","$24.0\pm0.7"
"cold start","Cont prof здаiende inter fertjective Example:","$17.2\pm0.6"
"warm start"," pre Mrsazãó-Long sentenceжу","$11.6\pm0.8"
"warm + fluency","Hazl nested concrete péoopób sentenceacent","$12.1\pm0.6"
"warm + prune","**use seveniddleras Masiforn ABC sentence.","$13.9\pm0.7"
